dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,0.31302187556761657,0.057362112207943905,0.3116643101203368,0.21217826601806544,0.40371184234842744
0,1,0.2594021364004308,0.012431975289549039,0.2609295341601805,0.23418582054577924,0.277228403330262
0,2,0.14654411231437062,0.013505221108529447,0.14728040132911427,0.12310925180059745,0.1662731039235641
0,3,0.09168605519762346,0.013809617086512516,0.09106760921577171,0.06921495511943357,0.11530644416437548
0,4,0.18934582051995857,0.041311202111773915,0.1836687858635932,0.13182026317949044,0.27579210053670833
1,0,0.22574224878268506,0.03485553563538168,0.2229811407557153,0.17240040021745756,0.29019353484400656
1,1,0.25695932739381333,0.01638173924624944,0.25833618680183923,0.22785589564653846,0.28202917026570523
1,2,0.1884552783252383,0.008957173379417824,0.18871351248945867,0.17226457569587322,0.20186876740753298
1,3,0.07513495993597845,0.007417708206037711,0.07495566023920934,0.06341015279057924,0.08840761209211322
1,4,0.2537081855622848,0.03703811495395544,0.25322801197864,0.19368673237475556,0.3153809218242563
2,0,0.25935360574411376,0.04725574435649334,0.25355039086286024,0.18944825007353225,0.341602867063631
2,1,0.09638857461965104,0.010110494685187524,0.0970268964627841,0.08042715079427495,0.1142880015117344
2,2,0.1007468595603814,0.007140001781541452,0.09991748753304508,0.09015788416014901,0.11275253591485541
2,3,0.23822130052547538,0.013272815870502651,0.2378362047859402,0.21616393843721618,0.26001329689630037
2,4,0.3052896595503789,0.05076408923190174,0.30565738201007503,0.22514357047553948,0.38497620383031483
3,0,0.20777809657743504,0.0403664823641897,0.20695362191231792,0.14162950321882578,0.2705626313180552
3,1,0.11297718062541005,0.013937795447192048,0.11418359904688616,0.09046753110925825,0.13516545402909402
3,2,0.15325870582085624,0.010945941420008041,0.15329516467245446,0.13429426084734641,0.1698750635598994
3,3,0.26948187068990437,0.017763822991756557,0.27011461874342524,0.24207033213037424,0.29774053914903453
3,4,0.25650414628639456,0.04729529991516335,0.2531391529945434,0.1868198075800526,0.33709430918652683
