dim_0,mean,std,median,5.0%,95.0%
0,-0.0010060496606848193,0.10532535203182905,-0.004870761595163543,-0.16674498335848445,0.16484948279096343
1,0.00010500827050081854,0.10042717173678473,0.004456382849702439,-0.1822395858233271,0.16469069726349378
2,-0.0037550921930343904,0.10565766026096951,0.0005103756356441969,-0.16921176935268548,0.1543678448026469
3,0.0014737006446911842,0.08988060677806647,-0.0029968244498713476,-0.13720266881344118,0.15653703159421994
4,-0.004020762844631664,0.0984528797477683,-0.004928684788170004,-0.1621362956758443,0.16384116491755177
5,-0.008038350296316938,0.10976923242206527,-0.002291056747249413,-0.1936290609083262,0.15910119773375148
6,0.004233949465263252,0.09211378719282022,0.0057258606615189014,-0.16149567504222487,0.1486633435483216
7,-0.0024401058012095676,0.0957805150643323,-0.0017272934517796508,-0.1531035851783835,0.1373981278484135
8,0.00030709087189448694,0.1030411585297194,-0.0020220266202379752,-0.16954431362695632,0.17160348922275215
9,-0.005818774783693613,0.10557300311159007,0.0012693916613397216,-0.1956796277301122,0.16212203781815632
10,-0.001350551444180211,0.09409447607154799,0.0002396892968881709,-0.14947522016149686,0.15529336332399515
11,-0.008887907025309512,0.09628087084589218,-0.012461014731714789,-0.15875110800752906,0.1497390581779769
12,0.00432063347240567,0.0959538904305334,0.011838431898207349,-0.1526712896127168,0.15904388885113072
13,0.0021757282173296513,0.10044032118994378,0.0016218581661305797,-0.15537104991668435,0.1752617861186194
14,-0.00048386763564365167,0.09965018984671686,0.001710524420324332,-0.16147002931263538,0.16469948028721912
15,-0.0013902944098910435,0.09718377329735307,0.0009098281139119115,-0.1585051854374568,0.16331485771823326
16,-0.001357133175293482,0.09807073148049829,0.0037855948215989726,-0.15231964940677956,0.16876156131950257
17,0.005317995306978341,0.09738219250828586,0.007289930203312209,-0.15094491322491016,0.16433050716620906
18,-0.004065385852232042,0.08334314768523264,-0.004579483579087164,-0.14265376593866289,0.13707584865744604
19,0.0010853847971773409,0.09594612266968357,-0.0009112551179561773,-0.1574139490124541,0.1510128291056516
20,0.0016523610936471946,0.09833491695054976,0.0017372009678896338,-0.16069857319705,0.16805336454803677
21,0.0007341379748615032,0.10390256330341734,0.002860748631739303,-0.1659903492378157,0.16292102998693053
22,0.0003969994100006151,0.09923532400930535,0.005322792179185701,-0.1732736770909101,0.15347536498167877
23,0.0006846750978385519,0.09566801457514353,0.007848480346931237,-0.1763554414147663,0.1616582836756244
24,-0.0033530110173864663,0.09772815931640014,-0.0031426415981967823,-0.16311193384294523,0.15487778775617095
25,-0.0024978259919842317,0.10644880051074213,-0.003753242769603165,-0.16732040930033115,0.17345148965655216
26,-0.0006264556487002115,0.09862121938493636,-0.002028834132525783,-0.15864365872947955,0.16460348286028692
27,0.0037696827393901987,0.09467556018439348,0.004746114623681764,-0.1536240819603553,0.17124390949118443
28,0.0017719074807287737,0.10058527907353919,0.0006440419060187003,-0.16476231874015104,0.17411975130274593
29,-0.0008515066389981633,0.09154327886117161,-0.003467001144173889,-0.14520094925028454,0.151641386546732
30,0.00040135855943457363,0.0948358132627339,-0.005873903953602223,-0.1478210430934914,0.15560069925616993
31,0.004310851408961281,0.10360738259025494,0.007880081311420248,-0.17727739358951983,0.16606784742436803
32,-0.0008664792062118499,0.09702315693520722,0.0016045301007002835,-0.15218863022613013,0.18037666823959433
33,-0.00015484346333812302,0.09759333352608557,-0.001299871349029686,-0.15919584339467727,0.1566736401903165
34,-0.0010005611679253393,0.10250132436865156,-0.0015621320299283093,-0.16373886595491027,0.17280060067120934
35,-0.000986653640853675,0.09906126935358263,-0.0010728160538151879,-0.16877864240174884,0.16847881905714998
36,0.0009485121913293585,0.094861933130952,0.0011766364433223367,-0.16527570514425274,0.16125987322359828
37,-0.0014223008812874768,0.0977460432359094,-0.0020492094831814295,-0.16288548525890478,0.17154359824702747
38,0.004002336168405136,0.09318361641412584,0.005912318760964676,-0.1273634623447428,0.15669392899785387
39,-0.0006744767377198851,0.09965700029890022,-0.0016161397555961242,-0.1660309535317833,0.16448585043674466
40,-0.006852479374767637,0.10473952178785868,-0.005399737865119639,-0.17732635082355733,0.1750545750664423
41,-0.00034656211120174266,0.10323789885525152,0.00595384939155992,-0.17072068215199288,0.16725743147570554
42,-0.0068457372643740905,0.104130765518315,-0.01171068451154562,-0.18309921108003951,0.15449025465896232
43,0.004060574908369311,0.09611829579659002,0.0024535241026186067,-0.14329615330206388,0.15830784715304438
44,-0.004674264683394355,0.09775034809792384,-0.002600499664672863,-0.15438159642393867,0.1594766244114348
45,0.001867258822975951,0.10165100114613106,-0.0011655523552584815,-0.16271660956640693,0.16897743619205677
46,-0.0002646211399879543,0.096291081639934,0.003446637064549916,-0.16946843213647472,0.15757464347281458
47,0.006608776381875287,0.09857893017992271,0.0023851142108848263,-0.1399187895858327,0.17160647160284256
48,0.0026498329572065007,0.10279917853571445,0.008007865877068046,-0.1738861270146853,0.18793140085297563
49,0.0004581661356140606,0.0923250285677227,-0.005847733698205395,-0.14291611778050523,0.13854836498139947
50,0.011820690097635695,0.10901613525983628,0.013494878355503333,-0.16158424462208215,0.1862409265081152
51,-0.005256643096529716,0.10318528101763617,-0.006673885801940592,-0.18212423368504224,0.16704114835682632
52,-0.0002668394534304711,0.10671688224956448,-0.0008793605682427762,-0.16212888103385437,0.16327470884194345
53,0.011731857063402169,0.09840419290933265,0.012922278328200813,-0.13914959720269082,0.1709906607750263
54,-0.001207120734664065,0.11465843679646553,0.0007777972943967554,-0.18928008604141147,0.165860412792419
55,-0.0033154858293855,0.09177030686511482,-0.0023145868888097268,-0.15304399719134879,0.14626628523493831
56,-0.004758236144202709,0.09633845859052466,-0.00257100155828294,-0.16394043549975915,0.1574428275858795
57,-0.0016259388565723204,0.1057943321942801,-0.005794315861979626,-0.17133586161820413,0.1745401541433626
58,0.0008327435710314376,0.09508237153542227,0.0005196435764588489,-0.14456127854365508,0.1374382943767585
59,0.00022439811951843516,0.09002324125184083,-0.0008527373589738162,-0.1442246989667525,0.14841806065589977
60,-0.0038137805356089818,0.09617132648598745,-0.004946478237223025,-0.1544793565706878,0.1642380256576873
61,0.00367143709340219,0.10189923670482519,0.003637389107805299,-0.1621188709188239,0.17409881319923198
62,0.0038419177980344903,0.10851122429066257,-0.0010921286700495145,-0.16352933104613468,0.17175206053159175
63,-0.0006163953527047891,0.08984917244051842,-0.005895495546832765,-0.13589064863730416,0.15495130923089034
64,0.006160265612507641,0.10617466451072374,0.006553130376862211,-0.17502146456037393,0.17524873133489682
65,0.001392413457761405,0.11085957005929772,-0.0009332496126810369,-0.1852668939018979,0.1764222693845814
66,0.0006758462551900202,0.09182360406177704,-0.0005767570709568931,-0.1611984721688384,0.14972246169680384
67,-0.003432949648149809,0.11081884982211139,-0.0041159521740311645,-0.1712569193195589,0.15535544578398283
68,0.002198482584521057,0.09568652809086371,0.0011806391315366525,-0.16143647771410932,0.15922060250141998
69,0.005152726147721485,0.09710181155397926,0.001335014378665083,-0.16525666435852424,0.1888348759775987
70,0.003510670234979687,0.0949031638911192,-0.00011539809711922698,-0.1574835103478114,0.1511357513304565
71,0.0006705989270491444,0.10195811154198016,-0.0019311851632483716,-0.17166404459715986,0.16489962957033447
72,0.0056341566471681875,0.10605846068439113,0.0021037768594058134,-0.16286583273673363,0.18591571993201783
73,-0.0036958347107287166,0.10672405684201654,-0.007197462883687391,-0.16611059385961532,0.1748207723527374
74,0.004316909639656334,0.10363272666403713,0.007549998859754109,-0.16542761967658054,0.16795102374671003
75,-0.006047162831067866,0.10572956386079045,-0.00869973446371454,-0.1710895609938617,0.1657922300730028
76,-0.00035066011824104383,0.10278212457106516,0.0017203103871831203,-0.16201936755323132,0.1560914077033905
77,0.0012311560284160561,0.09881061008022608,0.0008217721430340092,-0.15808217528197713,0.17470439850272673
78,0.002175863989343855,0.10518840709921636,0.0035471218159611965,-0.15933445758745973,0.1612174345164886
79,0.0041731923601638025,0.09857081057202983,0.004154304405876762,-0.15404672196087643,0.15867562934401683
80,0.0005311980409191667,0.09524519588770251,0.003810903265148982,-0.15927325341161103,0.15271722542487132
81,-0.00857112117146625,0.1065782382168171,-0.006563076439226672,-0.20560130787705597,0.16404070692242245
82,-0.0019123301855051,0.10984091106266188,-0.005944727584095608,-0.18802275522278591,0.20272011867219852
83,-0.0030481745187585308,0.1080105420620555,-0.003401514640094777,-0.17936477449118038,0.17519862582676557
84,0.00597674136072029,0.10768723351716561,0.010573295453076736,-0.16625926238386887,0.17182719870383223
85,0.001723327368300731,0.1002978936178015,0.005398026783867929,-0.16180114059012105,0.1621479098421965
86,-0.003298638139678157,0.11749487721038605,-0.01090837686548516,-0.20776366083419562,0.2149978893413099
87,0.0005104959325891797,0.0900752223580515,0.0005495381277646025,-0.14973277748455877,0.14642114620667968
88,0.005986681209724036,0.0984773051090017,0.003565406483158887,-0.15408115154927207,0.1654142000658127
89,-0.002750432977072763,0.10968379550279918,-0.0012408133648841983,-0.18225897469555882,0.1865361455939067
90,-0.0051450734226842825,0.10445338183678199,-0.0035003688707527124,-0.17306645306529916,0.1660285362830705
91,-0.004704773813326468,0.0986331494467301,-0.009183409241304744,-0.15647326962125926,0.150795342403397
92,-0.00219149437009301,0.0992054608667789,-0.005451776214636457,-0.17415387629586712,0.16753249063114906
93,0.0027789257961363845,0.10548572169220513,0.011811480990021987,-0.16733720134810262,0.16601356286187466
94,0.0014754650850398604,0.08471496938315327,0.003783607666445559,-0.1391836396223508,0.137015808088144
95,0.007283242116750901,0.1038034075921144,0.0110396989594541,-0.1662721555086446,0.18323120218885125
96,0.0032717659534353396,0.09676967973138699,0.003913025735669984,-0.14198630748193503,0.15588575595068016
97,-0.002976511205323975,0.09617798380750103,-0.0007506402327089085,-0.1627911450854018,0.15966779665630948
98,-0.001372303407331234,0.10809212504848544,0.0034357448945208434,-0.18430315794361551,0.17040675226064844
99,0.003458439491871185,0.09333631650016296,0.0018690412452450247,-0.1499127502189051,0.16953233973998044
100,-0.0011603696528697898,0.10362102994291147,-0.0023582325801859015,-0.1640195342956287,0.16863353181580015
101,0.006036713547754291,0.09843689964803717,0.010725934957135471,-0.14779270824174578,0.17031738117018788
