dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,1.12373401704107,1.2251710249023418,0.6975604230968965,0.03780684160875068,3.6866640960977604
0,1,1.6211921916963485,1.8844147519176961,0.8847215927673514,0.054439997366442346,5.4091818939221845
0,2,1.0772151484934358,1.271376488544239,0.7090398703253302,0.02440161432635527,3.5050705353160065
0,3,1.239742400565674,1.4561187416493477,0.7642015529491031,0.025392270239946734,4.114824709295084
0,4,1.2889775948598667,1.5038895638918388,0.8307545381786918,0.024631242254239856,4.1100246726126635
0,5,1.4631964700587443,1.802921031720812,0.7412414361955585,0.031830513819074306,5.421325062603706
0,6,1.3406824802918793,1.5269340226749197,0.8898812714659889,0.030215397033419696,3.8871218455590903
0,7,1.497068835426801,1.648148665720051,0.8905900288496873,0.039161703211402436,4.928901839127927
0,8,0.9759889949151339,1.1604379292495435,0.6151549540783192,0.022926625965573676,3.3251176602254673
0,9,1.7933357989901526,2.215100398619228,0.9793619480168254,0.023114941783055717,7.204510743350954
1,0,1.149098521976246,1.2205343252086134,0.7357706451250385,0.028166990119351094,3.657774507775585
1,1,1.7395011022510316,2.2948180566881047,0.8819211698321185,0.0471150733931167,5.88560941587266
1,2,1.1277559193819142,1.315206103107827,0.7161104192480512,0.03360805806341267,4.041672322998051
1,3,1.2589947806118462,1.3968547821610817,0.8526362160758616,0.03215570636683754,4.000359018463336
1,4,1.3699534926985804,1.631824994420831,0.7952300483909321,0.021672926524898162,4.519983895438238
1,5,1.383283668345751,1.512241818424802,0.9200120155328624,0.017742713564046435,4.641905692321874
1,6,1.186827874714832,1.2057462677424815,0.8565786733801068,0.036712961409629846,3.4410831044386807
1,7,1.5228450025158,1.711954858426594,0.8644767443169898,0.02393905877189405,4.73248234114618
1,8,1.1362204740824393,1.3184586050351967,0.5791842591105028,0.029437742493842314,3.8770303698367377
1,9,1.7520808016813878,2.052024199416763,0.9898917566788554,0.02304455228248157,6.424686391945688
2,0,1.1233517376390263,1.2701745428659124,0.7021225756434226,0.02954127650770092,3.753693608779505
2,1,1.665656087793984,2.0968558077431343,0.7748956479376214,0.030334549364187426,5.949327722481183
2,2,1.1590613794437858,1.3636604563901602,0.549192476783936,0.022555397262980274,4.079051440589624
2,3,1.3086530776546028,1.428581887856112,0.8355004248425413,0.035534851927065784,3.9400162590530434
2,4,1.426440831866049,1.6120362034495261,0.9229969091705619,0.028714776066739143,4.861459486423224
2,5,1.3011473300181675,1.4038933302173355,0.8632010557813349,0.022049775303989296,4.087648895751444
2,6,1.2650682850229502,1.4536695757117113,0.8323517033425716,0.022935894819524506,4.4049883255203
2,7,1.4726923123741282,1.7528115949593959,0.9144496578193855,0.027186223485575048,5.001852324399541
2,8,1.1718658526948633,1.3500061009328386,0.6485824448451165,0.024665723127844305,3.714104112192416
2,9,1.5586152726801112,1.973019197961092,0.8085609343482156,0.01647180397740192,5.757136511168214
3,0,1.07119851475493,1.2777224227083075,0.622329478542294,0.029115805850059878,3.6997746740742548
3,1,1.5623948664242782,1.9869873694064164,0.9071421718603039,0.035857350356808315,5.112562595951296
3,2,1.1220689468889777,1.4058717043895033,0.6490551357952605,0.019572865124059566,3.631394157253019
3,3,1.371057329481704,1.5539369439228612,0.8754309335956586,0.028539399329407654,4.4883841666776885
3,4,1.5694059921136665,1.8460595327334346,1.0243372611919481,0.04412297589143155,4.513586783143966
3,5,1.4107208470190222,1.497157697434349,0.8854134447833746,0.024915046875347173,4.35640715503402
3,6,1.2919005307474043,1.6306377047861929,0.7070739168326998,0.007289266332680973,4.5993524407854
3,7,1.4841879106085696,2.0054122893679724,0.8327892862123185,0.03181299699474905,5.202513918038376
3,8,1.2486500032345726,1.5592176828558117,0.5999272437421532,0.028654572014436,4.7059864082982825
3,9,1.636371498367513,1.749605339224124,1.0945569287481693,0.04807240766254805,4.92032649310427
4,0,1.1696914502281779,1.5030675587434656,0.583617473478928,0.019254463614524164,4.310232601912765
4,1,1.5447807547481296,1.7291120494732823,0.9794160840606533,0.038998084104698794,5.163642356013046
4,2,1.0466240019935347,1.0689620747463022,0.7086313230617918,0.03545665465474408,3.4803769618681253
