dim_0,mean,std,median,5.0%,95.0%
0,-0.007823479660729717,0.0849549632641426,-0.011133521152557717,-0.1358262268753091,0.12189537429353021
1,0.0023664145098000224,0.11005130043893795,0.0026257791752014926,-0.1755014936397747,0.18561092733435178
2,0.006633750663439284,0.10327659711926147,0.018578203187632158,-0.16789159468375972,0.15722290936243052
3,-0.01438416871091409,0.08925065344924411,-0.01185929115028955,-0.17162549335826938,0.12503261545598576
4,0.002854993354024905,0.12156910765340266,0.010450860394650225,-0.17005660330563846,0.17007122622924523
5,-0.008192134731825937,0.12721883806517062,-0.009322989398898725,-0.19291592233545182,0.18028105708677097
6,-0.004720135532060946,0.09841943753141201,-0.009226220723227277,-0.1512646154113641,0.1798659001014696
7,0.014933036515107141,0.09911644097614936,0.021887205422808413,-0.15939592025732033,0.16246852400885456
8,-0.0038490617442899144,0.09712594915771092,0.0014552530685042443,-0.15835868665850233,0.1638610492749403
9,0.010707303171627524,0.09672523633455278,0.00118909949973364,-0.14311085654425415,0.1782978357978441
10,-0.008765901934274997,0.08414205625221209,-0.010063534804058034,-0.1251315907842037,0.14768556069733565
11,-0.01375426241677161,0.09466320125425903,-0.0047623842852671985,-0.18270875360843075,0.14327949919769567
12,0.003747925196904351,0.09100598756143528,0.011997682346807571,-0.1468042557439144,0.13962036900076094
13,-0.00246786310856182,0.08657989363293747,0.0016110080804330493,-0.1540247670602142,0.1342094734074246
14,0.014964608232806162,0.14972547409657783,0.047962800452641605,-0.2222951935184402,0.22510646287513852
15,0.006402010291592946,0.08237124993938148,0.008705482938834108,-0.11059705277639537,0.1304624530943861
16,-0.004413133418062734,0.09688833113032916,-0.009403363408879227,-0.168798521161988,0.15331057633087675
17,-0.14154056089677322,0.1242245137134787,-0.16993415778602688,-0.2778654586915082,0.15511034705530904
18,0.009227948890920368,0.08697537852386637,0.012072083984266808,-0.11795352100092794,0.1440486086353731
19,-0.006453502726829387,0.08635471795200188,-0.014870347791427437,-0.14998439762392782,0.13951429549250044
