dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,0.9395148313870645,0.9681922127250726,0.6863382206822031,0.030159074493549085,2.9859986265031293
0,1,1.0899419895619595,1.4377533918371928,0.5763973877221735,0.012406267511069758,3.6967060517434875
0,2,1.1352666481432327,1.2599516432801827,0.7787291065986661,0.04260953842651211,3.285604348787501
0,3,1.160188884099942,1.2767947722896669,0.7311295645849426,0.03442254371589097,3.7122988308597624
0,4,1.2801077770175775,1.357932352999554,0.7278035504862738,0.019032688403937778,3.8062196098697725
0,5,1.2594871198331825,1.360206603438881,0.7950460331771592,0.020855697307304036,4.033915485229062
0,6,1.278030186486239,1.4073048273902782,0.8391398877525066,0.04917785821471668,4.433759242351468
0,7,0.9128803398723815,1.1012127015699293,0.5159936782689298,0.0075066692270888335,2.912416910552496
0,8,1.2325900667203207,1.332372164461659,0.7560340795074274,0.08021540965868813,3.821816453486218
0,9,1.0822529066694269,1.1959815005838759,0.5984730022016591,0.029546648741256207,3.550789926284046
1,0,0.9490230895862767,1.0231044426276106,0.577556351709152,0.01947139092455439,3.249972134360791
1,1,1.0687999731728486,1.1915917067951682,0.5401958873504067,0.02336119609094036,3.1830763929579025
1,2,1.187177282929083,1.3138582241507404,0.7738941492357074,0.03911232641387318,3.801921741921457
1,3,1.2903125527040686,1.507276550666853,0.741826934851411,0.04599442788307655,4.499435498931968
1,4,1.2851661926551725,1.3152819818929973,0.8191365534945183,0.046451973820714414,4.237028036507459
1,5,1.0938117842886725,1.3199719798053469,0.619721314353225,0.024864018489607356,4.148710856384704
1,6,1.1471322424053767,1.3792035963405578,0.6899221131770219,0.014129218109916299,4.202269281266042
1,7,0.9599589111383119,1.1498331744712342,0.5644391325113299,0.013524113615887958,3.3316950593754577
1,8,1.5419354812324764,2.0126749757732916,0.697411549518574,0.014364333608069756,5.6851650533847025
1,9,1.2388414018396865,1.4459743122696354,0.7092760860603964,0.012684948354196469,4.016259569625505
2,0,1.0705830413216462,1.278415661667116,0.5710159834852973,0.037673518870457584,3.2107861424617807
2,1,1.0960259585491425,1.2668626535411769,0.7031133022237168,0.033329224798713274,3.568685082862941
2,2,1.3059921620843997,1.3924515919978164,0.8701634577911188,0.04268654517167815,3.9743577538180204
2,3,1.2073949451998174,1.4005326476773508,0.8408464920902402,0.04869734538358365,3.5459931949802233
2,4,1.5763535586962483,2.003224356719618,0.7920567845899928,0.04191662695365523,5.231570259102302
2,5,1.1464157218067041,1.3747175188764864,0.6458458027290839,0.019948601378938467,3.783260754227804
2,6,1.2673812020424529,1.3554251291246042,0.7883712946409339,0.025275886369949287,4.20779434649876
2,7,1.030335951201489,1.2387389478661692,0.5418486766419094,0.026861158224421144,3.7654563072263203
2,8,1.3406280464478897,1.7049176358215876,0.7133354689607367,0.022987733957328636,4.426741149237619
2,9,1.050351463229789,1.3416771230919708,0.6380074563814024,0.006626198625686239,3.75413142607301
3,0,0.8787755433866203,0.96889879288406,0.5738823408352278,0.037862680592720445,2.814455103706699
3,1,1.0583091833537552,1.4142639740694778,0.5273845856528407,0.014310195073938856,4.020639022752713
3,2,1.279220368565564,1.4485309849434953,0.7182629174435722,0.029117744322406935,3.935145804755835
3,3,1.3273345109267,1.6356851251651958,0.7233076741374367,0.012443095379155491,4.549943242107736
3,4,1.3368100626503445,1.5585756997398683,0.6862406130463357,0.020958348459142715,4.535662894275139
3,5,1.3076032977974177,1.472592312579577,0.8573528737248711,0.019431306820396173,4.162722774695258
3,6,1.3881769431608493,1.4376584956556224,0.8811987951262578,0.02813887727489991,4.374557299145154
3,7,0.8649727617869672,0.9049174779945504,0.6234431616049019,0.0169695359466665,3.080583830643465
3,8,1.3181426521849757,1.450439962509863,0.8811542828218275,0.0305126260152717,4.719585710781841
3,9,1.0219461215902947,1.2993543009404027,0.5462157609712108,0.01774242456162789,4.232057033660816
4,0,0.9847375978623739,1.239729743517008,0.4928344525969741,0.006834002554391945,3.2886242923834486
4,1,1.140531114876277,1.4916770100833017,0.5236855118698929,0.023747147921792194,4.456230212155287
4,2,1.2395314155226094,1.6683059445698907,0.678676907542546,0.020326865046850065,4.095692531120455
4,3,1.0985174982081698,1.3798719911598891,0.65083480296109,0.007887911106388522,3.826824881234316
4,4,1.163513232051963,1.4642379213189374,0.6022099179556211,0.014757000551861714,4.333528587701676
4,5,1.3734152531433472,1.5764198067031243,0.790620689312858,0.048325773668611446,4.609681149835542
4,6,1.1672607655991778,1.397614021131237,0.5790836492825983,0.014347877318909128,4.241885962001089
4,7,0.8729670342718105,0.9056741428474354,0.5425985874210926,0.023364019108680543,2.850104649082662
4,8,1.3076782376066711,1.496414308354835,0.829889129531997,0.03997088335525698,4.47111426469386
4,9,1.0223188229147544,1.159241004025561,0.5837617348627893,0.020940481556509075,3.4436217715232362
5,0,1.0192732604001882,1.2215345041020294,0.5486126296958421,0.023725490490925122,3.883415232123146
5,1,1.0335175943009005,1.1489617789632747,0.5938071833800709,0.022055032090138108,3.297080404984918
5,2,1.1661144973249926,1.2830035408533205,0.7156362241233163,0.024299696393874984,3.9224141327039055
5,3,1.1918355459024985,1.6600246908924174,0.5909740122612778,0.007993059474431982,4.2770209634455645
5,4,1.339735406445088,1.6114871019706327,0.7504619109664904,0.026369068097760667,4.6659867684069205
5,5,1.3215218520306882,1.6716565009547342,0.7743689568706672,0.03136834276353447,4.686794679966387
5,6,1.0888853084970596,1.2966971239815333,0.6941655874135993,0.023013392991146214,3.456836966096141
5,7,1.0938453562419246,1.27713719824955,0.7275492075909222,0.032882541102992484,3.4426634265752645
5,8,1.3053011615642132,1.4507494571269357,0.806138874560832,0.030901384606306845,4.201803021574687
5,9,1.0704531797787884,1.2558713183247079,0.6477523357359876,0.008720061277091132,3.8376825519759366
6,0,1.0107904153971474,1.0247074819012334,0.6704264390213108,0.039852505720791985,3.3706706131670297
6,1,1.066757326182489,1.2604627839503943,0.6491960116035009,0.013051231337523563,3.483648973879768
6,2,1.126030288561425,1.4272665602355301,0.6495856671566151,0.01296725737765394,4.020904733828527
6,3,1.4175488356884305,1.5504293914311351,0.9579280817458509,0.01675159732544991,4.847512987588146
6,4,1.2967096541713417,1.4622676689007008,0.7679252296076207,0.03479312780542966,4.077201407479022
6,5,1.1436218626634955,1.2197466231794623,0.747148113597193,0.03878994145169487,3.71806207907045
6,6,1.1946587325848257,1.3039906283268488,0.7238713934643852,0.01731197138191458,4.065266172118922
6,7,1.014640633140659,1.154725214710412,0.583733311272012,0.018983315246241805,3.455268269638605
6,8,1.3675199962448732,1.889869157869558,0.7360114044420463,0.02476009047194238,4.956597439333682
6,9,1.1711085665863084,1.3615800548385446,0.6196969334850213,0.014887849274126948,4.2125028366327015
7,0,1.0850209946464782,1.3656037688905365,0.5980750026672309,0.006969335159530383,3.648877195507006
7,1,1.0162994905891747,1.2205732275499612,0.6222712870197202,0.020974204832130555,2.887470230388078
7,2,1.0852725394990004,1.1678331507686912,0.7857027201852639,0.06245965767543761,3.54684893632528
7,3,1.1973573091856502,1.2912823556712236,0.696542873231403,0.02068709829861985,3.822992258295206
7,4,1.2806263888999845,1.49707586205571,0.7475358556891044,0.024349008988991006,3.9034889096522365
7,5,1.2765155059326159,1.5334210542691245,0.7994731493289904,0.05781674843087889,3.835624908347471
7,6,1.373346654660784,1.424641631457869,0.8659757644531014,0.08594088710203883,4.136810444366057
7,7,0.8574736193299252,0.9531731765808262,0.5485437668399358,0.023096760568714556,2.498255631290115
7,8,1.3681486305842478,1.4511490204423165,0.8921417834226579,0.029005867209541326,4.342179412501784
7,9,1.022103663436046,1.1132164199021701,0.620209308732856,0.039108245711610166,3.5920095646287864
8,0,1.0715108650343255,1.2901949205826198,0.577652731975689,0.03691791261736567,3.8879406132240115
8,1,1.1583342942454644,1.5295626896734786,0.5457303246903702,0.010088694111596833,4.207785319113762
8,2,1.1511913669627853,1.438689648248126,0.6051056572792435,0.002310180494600773,3.978390523577813
8,3,1.1531706524012484,1.2742979851508964,0.7245630096514639,0.04612323917634059,3.8723893111800325
8,4,1.396294942150312,1.8105327804392186,0.6272299474764484,0.0038490234789878117,5.062455306278893
8,5,1.2504616455163853,1.214831596545263,0.8348131271933579,0.06293569932891187,3.8329376271635804
8,6,1.2226592732041166,1.5054170281713415,0.7413915653769959,0.008234739683446492,4.686237761891717
8,7,0.9095781954165438,1.0531649958982285,0.5918387624622187,0.018897032513576502,2.6616281947494547
8,8,1.276666880474867,1.4135082376126873,0.8331832684728696,0.0256407382890622,4.066273867795969
8,9,1.0274411583536873,1.2397722316598292,0.5996944587428557,0.01438709275545991,3.3413403464342566
9,0,1.0692463183586027,1.4895325896709002,0.5222122704060302,0.009859021397951855,3.4742532960719563
9,1,0.9652846558536194,1.0970325671916163,0.5677269291068274,0.01517132554469859,3.1527952580225937
9,2,1.1637447508084713,1.3656761091852168,0.6758113513936712,0.030599537137565053,3.9942849979156083
9,3,1.183195179708264,1.7245116818986717,0.5482575315014466,0.004066215385340264,5.3759464260148295
9,4,1.277774256991576,1.5320078582499919,0.618609052144048,0.02191357634624277,4.25162670116977
9,5,1.2532134115260702,1.2992001167765868,0.8286955678141162,0.036929354086276386,4.136800897015158
9,6,1.1471949596756124,1.0655867346650414,0.8528339031104885,0.04091422234468283,3.5253676804280034
9,7,0.9869895979731496,1.2567758947702306,0.5346700163377585,0.018943489880348913,3.1552180929546103
