dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,0.5952629770197728,0.20377659990209643,0.5906097422477145,0.2573878841202732,0.9328040659417981
0,1,1.0430176107951012,0.21102432418451983,1.0478107014242237,0.7445511935475269,1.3874970241834388
0,2,-0.7060857319133088,0.2363320112787525,-0.6984212305905053,-1.1075420664246693,-0.29427755432193264
0,3,1.109058694085463,0.24392665066959013,1.099175653391975,0.7298980165936684,1.5136742822843041
0,4,-0.4103053715809269,0.2231494276368986,-0.4253312937701875,-0.7853134598894363,-0.01945022369648809
0,5,0.4608577708378375,0.2512291026527346,0.46437555023564275,0.07225065038805062,0.8958210864388946
0,6,0.5183406260903235,0.23199260034624342,0.5345392319750617,0.12046855539398489,0.871635767181134
0,7,-0.38945710823191815,0.2142766652331843,-0.4265611912952416,-0.6738359403265856,0.0026606969208136265
0,8,-0.8859470041298814,0.24390551935798316,-0.8851902058017013,-1.2870532322347756,-0.49424410550804443
0,9,0.1599117515263004,0.22794735420736098,0.1370407931130783,-0.2435008132851555,0.5184624347539801
1,0,-0.35443925016996913,0.22583421205730145,-0.3665968701908518,-0.6963106352700049,0.040540182457548646
1,1,0.04383120286926582,0.22620872805349018,0.03317081098927713,-0.2816526332738742,0.4691107921746385
1,2,0.2487745655681153,0.22511423685072574,0.22745152262540064,-0.07879702121634047,0.5928334054708362
1,3,0.5108164395416223,0.21821351050424945,0.4983831199122061,0.15905658851628565,0.9062250550438955
1,4,0.9870009598297048,0.20259603770741974,0.982210526016414,0.6402271838366421,1.3256087613087368
1,5,0.8802519898465481,0.24418315199706647,0.8802198617614784,0.5172920033727357,1.324787281609258
1,6,2.610946600604331,0.2516473501542111,2.598320340377232,2.2093164757237815,3.0076645966423143
1,7,0.3976832390077418,0.23877026522042794,0.389154142918803,0.016269108094880025,0.8576776519457866
1,8,-0.5651244406042445,0.24172532431721253,-0.5798928067133309,-0.9492963000480024,-0.14467473152184263
1,9,1.5254137067232876,0.23621800126562556,1.5100099542852723,1.1848986717413335,1.9388987378452434
2,0,0.571570317265931,0.22114935313180992,0.5800230967106927,0.20361801939227742,0.9230541034218205
2,1,0.442101266674913,0.19833417584383906,0.4385266662425565,0.11335797670117684,0.763580876391443
2,2,1.3469403676521972,0.2277633316791757,1.3390704284007073,0.9922028301502852,1.7012648172260925
2,3,-0.29729358817968754,0.2003066770334709,-0.2853601102680177,-0.5968904968326293,0.03935256235540769
2,4,0.778566932780454,0.20385569133408982,0.7851413225816901,0.4622603668603215,1.1074302329219496
2,5,-1.9879994710787077,0.2006675225135085,-1.9850252743715315,-2.290497599879498,-1.6822364317636194
