dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,-0.0019305005611137177,0.23455835128516922,0.00040077391194795866,-0.38579356914368357,0.40319261912427834
1,0,-0.05131979703457652,0.24970808469556757,-0.059392511979861395,-0.4358426842460006,0.39078107408765206
2,0,0.06587085462321875,0.25621846637932083,0.06010906129916414,-0.31091816914532716,0.5253501134817776
3,0,0.13137654887494107,0.24134498794602366,0.10712746877516377,-0.19797933997255945,0.5365574681854101
4,0,0.005908348229811917,0.24914560154474177,0.006976633929362557,-0.3340042076935884,0.41153429653609386
5,0,0.019030096816697803,0.27603924533842417,0.07163870554333208,-0.4923618255741647,0.393334318432718
6,0,-0.028157144389380467,0.26179207119253634,-0.06884914272194657,-0.4238256525980887,0.4325044370102395
7,0,0.00694258598263482,0.22401553608951524,0.01178833593418254,-0.3540002978020072,0.3450262650164657
8,0,-0.1375873693054966,0.19928423417828622,-0.14219969259151288,-0.41296318012590355,0.19696885682051374
9,0,-0.0442289132651082,0.22421298718497157,-0.012808081714978657,-0.45730719466031694,0.2673416767842872
10,0,0.027884613002566637,0.2447623755232843,0.02867131180062011,-0.3465786150947098,0.4265368850865968
11,0,-0.1115027142572812,0.2509271974695586,-0.08627206777985916,-0.630660587058469,0.22691469349979684
12,0,0.004296394358631469,0.22078332775638893,0.006432617096267363,-0.37211618137611835,0.38895095280799435
13,0,-0.03489505807104881,0.24510047065560323,-0.023487618303094114,-0.4847647672638374,0.37079743599557113
14,0,0.0032354293002189397,0.23810501116785135,-0.023875643426774583,-0.37847417184271376,0.4007493328621222
15,0,0.06435481734900267,0.2244147733993226,0.06633545581934741,-0.27172784924048304,0.40922657835913784
16,0,-0.06425347618457718,0.25193922530480717,-0.055329216941993664,-0.4969128279657866,0.3407034198732129
17,0,-0.02638147412093547,0.2504144790099376,-0.04410857003250214,-0.39564040532075934,0.407191587536692
18,0,-0.02474995015475843,0.24219610859871513,-0.03872889730036655,-0.4664487010688916,0.3804195182625113
19,0,-0.08221405937538462,0.2138268531329807,-0.10937056390473082,-0.4227901714739876,0.3194496479313494
20,0,0.04680111223938387,0.21351972814782835,0.04316419728265239,-0.32117461364361327,0.41901687241608665
21,0,-0.026257269252674527,0.25063717978295447,-0.0036493626275617102,-0.465934714988244,0.3769173855688822
22,0,0.13473776644213514,0.20231228023414544,0.15265958180083528,-0.21230469051548922,0.4332973702666204
23,0,0.06547283547025005,0.2419433614936731,0.07080191208332837,-0.3253612889000769,0.44156198045116174
24,0,-0.015991182012508126,0.22813203299730633,-0.037851168666058393,-0.38717637501184937,0.3706259970715391
25,0,0.017822296793874395,0.2558817535833992,0.027943452691932467,-0.37607190418834435,0.4556142467034556
26,0,-0.000847465350220121,0.21446296492791417,0.023806616029283786,-0.3464356020297401,0.314081163734328
27,0,0.044014116418242114,0.22464497771989153,0.05338101268582637,-0.3546949780009787,0.40181125413912455
28,0,0.024120285653945653,0.22739715435216787,0.003115350634509319,-0.346648604031171,0.4124064679221093
29,0,0.01922354695250872,0.2218105416607558,0.006678573034832275,-0.32234230119998014,0.36407652817246233
30,0,0.03357988115181878,0.2218845641687452,0.008445686350945465,-0.3334918000116514,0.43597422323865576
31,0,-0.009125630454237085,0.27131495533377165,-0.017471755738826318,-0.46181142189037566,0.45395242039948147
