dim_0,mean,std,median,5.0%,95.0%
0,0.005594194815523482,0.10670640406769137,0.007349605609649496,-0.1649422844808774,0.17131578856544669
1,-0.0038075656991580784,0.1007018052835918,-0.0031461719375065274,-0.16056319989387666,0.16313260671927493
2,0.0030412288945042654,0.09552867652921786,-0.004628400279684381,-0.15214508569412666,0.1559183681032175
3,-0.002104270588746575,0.1109189356117338,0.0005295503736128843,-0.16920357672894412,0.17160823786126445
4,-0.007216825329619357,0.10929279082840682,-0.007155711412129036,-0.1817099266124389,0.18080905838769265
5,0.0075074996677717805,0.09967890328992841,0.010608635571105954,-0.16061070686812706,0.16887122669175977
6,0.003953548956970748,0.10032038316459431,0.006125613597064138,-0.1594717351231472,0.1678296376377992
7,-0.002372760952401312,0.10114209287975978,-0.0033804624134725777,-0.18850801963302197,0.17286297503281384
8,0.0027181230232429156,0.08980678027468147,0.01175794605794244,-0.13633603125987775,0.1258453041145632
9,0.004166271299740812,0.1017012294821778,0.0061321150055199565,-0.1730726747597348,0.18685036945515018
10,-0.0006300136003412228,0.10479689741758771,-0.001694893813020776,-0.15910857817939636,0.17751716564204228
11,0.001892430293245008,0.1066819756308943,-0.00018285902758142364,-0.19076388464038094,0.17931572261035822
12,-0.002456246416721661,0.10937815103867113,-0.0054867794753098754,-0.18033162255739182,0.17401122287142315
13,0.0038704775061120474,0.11605987031499877,0.0004325605056453087,-0.17799607501235018,0.18975940889076068
14,0.001722395547625507,0.1044655690151483,0.003269636145503426,-0.15509569654578811,0.17391156688317758
15,-0.0026764010707254165,0.11171235258766801,-0.005551733288947974,-0.1855311313783,0.18904279328067392
16,-0.0038123879269213214,0.10439333577209016,-0.008851583353739144,-0.1701455451749445,0.16917212691802005
17,-0.008404134973855183,0.10149897880067997,-0.007079831878535863,-0.1737135090373506,0.1551667837496
18,0.0016541089331926105,0.10130570455125094,-0.00044861051239319005,-0.16820196196247683,0.15470470039023979
19,0.0018405339805947088,0.10844881597366164,0.0038868686303027795,-0.18557463021410237,0.17589740757737551
20,-0.0036758145973657718,0.11369883299580284,-0.003379353251778279,-0.20788281662152863,0.19276689229174368
21,0.001091041884383554,0.091722149653557,-0.0017589630733982494,-0.159057517647664,0.15543613233608972
22,0.007122185308481635,0.09965270837406942,0.007212937935866635,-0.1605205623206008,0.17997705723511245
23,0.0024233047917672857,0.10589141413467405,0.0023503008578665556,-0.16929912844379524,0.17754115750547747
24,-0.00236990664214269,0.1040910309438539,-0.004608114576040226,-0.16557367271946935,0.16241272399139375
25,0.004861351062492765,0.09972956482722309,0.0016322645876697974,-0.1478296766012649,0.16003611270877444
26,-0.0006714914499134295,0.1134544293617163,-0.0024933664508997562,-0.19404461472041962,0.1815233542285564
27,-0.0021353483352338294,0.0993328181285112,0.006909115273232853,-0.1736308026280557,0.14953981353606952
28,0.0011988693342823683,0.0977450131407336,-0.0012205820879481212,-0.15805078691254232,0.16292111600791967
29,0.00170623793581485,0.09146646586956939,0.004124190130383969,-0.14527707426477882,0.1392839560537307
30,-0.005161489723514502,0.09913659925309776,-0.007906043899276337,-0.16186139321476056,0.161534078952357
31,0.003922342304354213,0.10425121932752501,0.00592539701646105,-0.16700141220663575,0.1657557840898926
32,0.0041559994076202,0.10232578627603245,-0.0011832614140950236,-0.15538255431864878,0.17769779073112302
33,-0.0038678588739354926,0.09664286029299808,0.0034658015186228466,-0.15954148389441822,0.15365738996745998
34,-0.0014557912675515698,0.09129113391082712,-0.004722251966845528,-0.14520777066783386,0.14928037846434156
35,-0.00782352619655458,0.10392826792635654,-0.005957205053919918,-0.19462445826709038,0.14285776894360036
36,0.005287828663408037,0.09908891237102434,-0.0005671038169025005,-0.15966574320780483,0.1810369673313806
37,-0.0027105641512915955,0.10855784674486323,0.002414574402900975,-0.18728323314309528,0.16888690242234197
38,-0.0013767639840922257,0.10054094458315542,0.002183892447709234,-0.16481435816548717,0.16178021322378144
39,-0.001958956491330826,0.09271487558531968,0.004752675336094524,-0.1517157253540722,0.13009052064203888
40,0.002065578541241876,0.10147480286567949,-0.001774859850512165,-0.17206889705193565,0.17044293323896229
41,-0.003567613900062292,0.1071664674608895,-0.008193845381588582,-0.1734485407615615,0.15227340806770326
42,-0.0022174782999522247,0.10274664121155973,0.0020949855854517077,-0.18552347774268818,0.15716795610373807
43,-0.008918392961362119,0.10269639269081546,-0.015324811258661506,-0.17989670758858584,0.16294210986162713
44,0.0032761987508772837,0.10449291527592708,0.004175681972576141,-0.1622423241613098,0.1767620565048917
45,-0.000681773861965459,0.09455222540916944,0.003722851082954122,-0.15548520896009463,0.14597126325440768
