dim_0,mean,std,median,5.0%,95.0%
0,-0.017947328702224458,0.10137898235844073,-0.02090678274860308,-0.17937452054723968,0.1421662686149142
1,-0.015237820487652117,0.0966050676471285,-0.016040291387846017,-0.16771740453339562,0.15009091108805084
2,-0.017204015629600986,0.10332876278663998,-0.019204037059469804,-0.18669388195790337,0.1613711143095868
3,-0.01746466867728045,0.099997283224489,-0.01848678229844169,-0.1739055614348041,0.1389951551348152
4,-0.01569125674400406,0.09825268987905203,-0.017878545017772394,-0.17768036882574084,0.14369445675869838
5,-0.019778969177833786,0.09688618011132605,-0.01997608352813586,-0.18469453685908843,0.1369199022602093
6,-0.021526264705779716,0.10283360857602417,-0.023594843600696518,-0.18928422034861536,0.1453619574516968
7,-0.012547277619602767,0.10072090482188872,-0.01546884894289032,-0.18309389357847203,0.153003065959154
8,-0.020268852436990822,0.10637254958830338,-0.020827307329500017,-0.2041590386843832,0.1490489741750523
9,-0.019134557003799995,0.10727027440967246,-0.023080335358469657,-0.18400501589292848,0.162522507703352
10,-0.02267225445699057,0.10471057982921161,-0.01846977404947,-0.18959051761234447,0.14344163877188387
11,-0.01537971587236433,0.10299012721096144,-0.016860043292906413,-0.1828253676878627,0.15006022201811103
12,-0.01659177451938935,0.10447085371785299,-0.018318346124109146,-0.1914943028141157,0.1585515985545866
13,-0.01742508476375458,0.0994094704839188,-0.02140986469140469,-0.1807489554924478,0.14303708961433192
14,-0.023094931448550578,0.10092738120811089,-0.023425181576212276,-0.18596280617967537,0.1487574173219708
15,-0.019951393971918155,0.10138490114501485,-0.02176194723009995,-0.1797431011438951,0.14614092534371023
16,-0.013310336438919388,0.09915655671094846,-0.010090678330338576,-0.17647715978709222,0.13929457842816265
17,-0.018036658439036603,0.10205166790903812,-0.02225061740654468,-0.1885643226177424,0.15323883808763344
18,-0.016518776687321605,0.10300225830808885,-0.01600411820060732,-0.17825303729936998,0.15158618813208255
19,-0.029715128536426026,0.11668362354708842,-0.03106134449729929,-0.22789306105952833,0.15781408444116116
20,-0.02112211923621682,0.10418980127941381,-0.013389873614878822,-0.1952432633369605,0.1427711785515276
21,-0.03746630957089417,0.12206535797921544,-0.03226928841206788,-0.24965731899486826,0.1502229017024588
22,-0.02069998417739477,0.10207744327413185,-0.0221948159644043,-0.19018797532724016,0.1464067948521328
23,-0.014110851304769417,0.1052800062504497,-0.01528857546497913,-0.18490923029998074,0.16208240743885396
24,-0.01774633411508387,0.09679573470612321,-0.019709552581576945,-0.1768827676737567,0.13847279108320804
25,-0.02355012096603064,0.10312824316740057,-0.023270990980944584,-0.19682572575885574,0.14372115274980676
26,-0.012220516917289651,0.09911689341465729,-0.011538540165986324,-0.17814633615652264,0.14475883254887414
27,-0.016742442299089468,0.0997018191841406,-0.015203611232854158,-0.18173032841108858,0.14960502846367782
28,-0.020700071156680287,0.10478728412567594,-0.02331331083632969,-0.1915748913554861,0.16017391234315578
29,-0.018781339885265574,0.09954646665914993,-0.018822796569388137,-0.18021223764890998,0.14148526113413135
30,-0.018279936658384257,0.09969799543856517,-0.017569193205470936,-0.18645387878737257,0.141725881604931
31,-0.020629061783882505,0.1037991252855263,-0.018979101803133034,-0.18542826733257411,0.152077076113248
32,-0.015693492062998467,0.10095563975029714,-0.015240261265413415,-0.17815406580260498,0.1517658552765288
33,-0.01664785260258948,0.09878666102904154,-0.014883628641614272,-0.1741446558419859,0.13980027754285423
34,-0.017629015122755064,0.10158562293223221,-0.018165906636446762,-0.17721247133621468,0.15180016688672254
35,-0.01642626689642113,0.10028290462254975,-0.015940326005821355,-0.18384683737966273,0.14855197944319737
36,-0.01897183605819407,0.10845821166456338,-0.015928991519927514,-0.20119955413993798,0.15153125496187977
37,-0.021079371770693824,0.1023927895597632,-0.02336537759510615,-0.1925917710441572,0.14484548031332228
38,-0.014668945159699813,0.10217542198431921,-0.014151450626287634,-0.1820495907462166,0.1535541203559069
39,-0.016071543462793943,0.09450063306460614,-0.01733520941680901,-0.16905729676989936,0.13424864428472844
40,-0.015912362187244917,0.10369168355716339,-0.01865655210278272,-0.18293268909692412,0.15369324115993543
41,-0.015192089969939359,0.10168844918322338,-0.012624082405707194,-0.1838271651134251,0.14874101405308657
42,-0.016294723090055082,0.09481929497604501,-0.017149607909972345,-0.17013517533372893,0.13778613804040127
43,-0.020469986031333723,0.1028874874003153,-0.017936129013914625,-0.18749889001651532,0.1449019607817467
44,-0.017218670563812655,0.10108841402900276,-0.018121576786050555,-0.17814388484938243,0.15133916710741926
45,-0.014742151015484664,0.09965756598499112,-0.0164204463840063,-0.18055841379773951,0.15776194298097992
46,-0.016825744630256056,0.10019270561913221,-0.020235482841912598,-0.1791966001414651,0.15209393965822207
47,-0.017709083285122693,0.09822028248720581,-0.01570939812343866,-0.17943410473890845,0.14227103357795823
48,-0.020108927849019756,0.0957280225308531,-0.01792597444311031,-0.18318143036461398,0.14649796326204337
49,-0.014840895980334291,0.09861645561673466,-0.014046658077142248,-0.1793926225395367,0.14030514178889353
