dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,-0.6028498852304947,0.42933315502889946,-0.6046934246561291,-1.3010101841584212,0.16769118837720207
0,1,0.3004130945209777,0.24457099020855508,0.31415730827438504,-0.11468367098957911,0.6833351509648052
0,2,0.26211131313100705,0.28072554653637266,0.25347488082243574,-0.18046009091030668,0.7564778454645177
0,3,0.29819493387781265,0.42383612892377387,0.3315350938449039,-0.40926516549592595,0.9878753507183758
0,4,0.7340193620819858,0.2679581646786198,0.7586181462614191,0.269923571499149,1.1687365761397435
0,5,0.5041263353248839,0.4918683311547218,0.4546151551813413,-0.28081502604976827,1.3434392348221593
0,6,0.06387385334058424,0.33577054280344476,0.0614257673763855,-0.4691001150631412,0.6369974478755811
0,7,-0.31890431743610853,0.4819698614251712,-0.3550998047871944,-1.1403079139804138,0.5130706815105739
0,8,-0.01625353677451312,0.3019796159512672,-0.0053591114415559166,-0.5224414986794724,0.4895752614923931
0,9,0.8629466543267529,0.3838262817387991,0.8689551400482763,0.2299862254372504,1.466205603497628
1,0,0.5899809776688568,0.39635446215508563,0.5704436151997507,-0.053628228535918365,1.2561442348593421
1,1,0.5515180507767973,0.3758516076846119,0.5324142592175563,-0.0961587961616664,1.1098731072848953
1,2,0.6398430112246495,0.398153318166127,0.6451849944459707,-0.08403593829581822,1.2642071257464869
1,3,-0.1270300337642046,0.2927504676589652,-0.10348398442234394,-0.6364194406156554,0.3095743551769467
1,4,0.10603787191957682,0.3245176997715501,0.1121261074022428,-0.4174722589077832,0.6384663726781341
1,5,-0.006991341719781026,0.3588143227641425,0.002976129293923213,-0.6394951618715098,0.5295836723151459
1,6,0.7270781575127345,0.3813491829471403,0.7352828593945353,0.13242160087327298,1.3890134993533538
1,7,-0.28319977579415984,0.45971596717522867,-0.27329131183615485,-1.0775951484317068,0.3895376171160716
1,8,-0.45273819970555773,0.3560308800937782,-0.4438373451043312,-1.0499213452875948,0.14625554507046434
1,9,-0.5633625267947128,0.33713269876298574,-0.5569693509033248,-1.094961448935613,-0.03779306273385726
2,0,0.6249979317322899,0.3375549787071823,0.6183126598062768,0.09528471486622912,1.1801896790173105
2,1,-0.1404534044996529,0.449779567455126,-0.18336182318779215,-0.8691800164285174,0.6121815140745028
2,2,-0.387540679758855,0.38938544068052455,-0.39091829916514076,-0.9884477497664941,0.2441412900830136
2,3,0.2064349592551325,0.27111746099746975,0.20604646598665963,-0.24676763742345356,0.6961823661056148
2,4,0.06349626115931636,0.3573720248477614,0.04376609889668265,-0.5192633493269828,0.645359680627584
2,5,0.01340143328514717,0.3169221632019845,0.017503185979856867,-0.4776096850460262,0.5413431988955134
2,6,0.48964678655231436,0.3791168075818645,0.49377628524023826,-0.10483481986718562,1.1386996690121816
2,7,0.05725939972662046,0.28271604573232556,0.07060701889082013,-0.3989390827943993,0.5259736447445443
2,8,-0.7883989536204534,0.3507221956741418,-0.7748024097038948,-1.3670443481783465,-0.22780409497956394
2,9,0.2973627987641582,0.38461883953808723,0.31294461050574335,-0.2971165810297879,0.8842380383385849
3,0,-0.5128732820085248,0.43823923253613506,-0.4733467516328396,-1.2742359316462712,0.15160602832025086
3,1,0.2946011520073993,0.4293637180940819,0.2761057609284541,-0.3540367327902932,1.0230814197905687
3,2,-1.1672620683892967,0.5667846065477237,-1.1971198933393217,-2.0011393503680184,-0.2636562187696318
3,3,-0.5476778175225419,0.3830614273944481,-0.5450782995924117,-1.1895369818107533,0.08767045031438302
3,4,-0.08229973200291624,0.3047232764054808,-0.09193667590810368,-0.5978423399860189,0.42205848376835625
3,5,0.0365693466070122,0.38427646885638045,0.04521391096252769,-0.5854390221486092,0.6550738117809922
3,6,-0.58861903470658,0.3628451648195962,-0.5589935771732559,-1.2038624435202305,-0.007802055947913694
3,7,-0.24147109202864261,0.28413184229859967,-0.23456361018659888,-0.6976280609812733,0.19508677215880377
3,8,-0.357081281473963,0.3616511693359914,-0.3666322673736868,-0.9584080923930667,0.21133568334554548
3,9,-0.3204343291302717,0.36126969459914254,-0.3192421125100804,-0.9107462668281053,0.24243014763047163
