dim_0,dim_1,mean,std,median,5.0%,95.0%
0,0,-2.001354230867198,0.18520551127640902,-2.007102085894631,-2.2699890145353825,-1.6822803988850077
0,1,-1.0364319686201016,0.18727963033052678,-1.048591330185634,-1.3107709369728038,-0.7128327653457504
0,2,-0.3954050952987599,0.18881626029290982,-0.3996404236420831,-0.6695303127457123,-0.07939218302050206
0,3,0.2363730147312972,0.18992035696648737,0.22584460435599762,-0.03921428332897093,0.5503588537090939
0,4,0.42926688574885186,0.1888036069343977,0.41675804781603376,0.1638371637820314,0.7561710759135878
0,5,0.6195427581978808,0.18932465780497515,0.6111972677946957,0.33523705079175675,0.9567543453701023
0,6,0.8378304354252117,0.18797989131844678,0.8314459079211551,0.5635258959786968,1.1718876431561978
0,7,1.4876328639603436,0.18849273311452713,1.4826379648271413,1.2125607062083548,1.8301816678769067
0,8,1.9666237266982818,0.19018937408571732,1.95826652491318,1.6754681553721706,2.302804476705281
