dim_0,mean,std,median,5.0%,95.0%
0,-4.8245595783493696e-05,0.1072162292005745,0.00019628589807071072,-0.17360626536171803,0.18130133210775262
1,-0.0008737794995061543,0.09508378216262224,-0.004091480970824908,-0.15663400787056303,0.15849757680953716
2,-0.0074107793220493535,0.09381548299505252,-0.0031096109837620784,-0.16891322915860785,0.1527633533216423
3,0.0016499650380645998,0.0932185608723938,0.008309602378627764,-0.14796657157919046,0.16323113139746903
4,0.001129478313386076,0.08899281904544265,0.007875648421075486,-0.15238546279021023,0.12692381732080937
5,0.0030542380497650358,0.09618273231735215,-0.0018858990019820724,-0.15252767507478748,0.1654976066427726
6,0.005688150433389182,0.0960272083715347,0.007010608424088799,-0.15309795037988722,0.16847464821273167
7,-0.0016627199325981042,0.0913506877294341,-0.004543669292802007,-0.13988462328279228,0.14815741747040187
8,-0.0016637571628615878,0.08843862449229141,-0.0037563153704760766,-0.14411080549818123,0.13860679674214138
9,-0.004421691560790619,0.10000577775471038,-0.006668656219610372,-0.16101311907935187,0.1611873766477226
10,-0.006758006332204704,0.09863636492477165,-0.007914709957976324,-0.16198154995669664,0.16288929766020305
11,0.008464436389715682,0.1029076899928619,0.0024387131285280184,-0.1636564822107519,0.19024853745343095
12,0.0031965697207274814,0.09279840527373384,0.004673134726216947,-0.14324807895931968,0.15975844273222448
13,0.0006638381788573995,0.09406458370822338,0.0021751699322888974,-0.1467288612137032,0.16023947739311245
14,0.0038404883634982705,0.09991598373410517,0.000521507772278058,-0.1651410366478354,0.167273125841251
15,-0.0017574578505669273,0.0932495197379673,-0.0005801661097483107,-0.1523012261596887,0.14384064425392326
16,0.007515059022431629,0.08906551400481338,0.005882294431924517,-0.13677839447885867,0.15754520499174587
17,0.0017685435761471398,0.11098433971141242,-0.0024588490041003628,-0.1821626264980696,0.19658920588604487
18,-0.004509716963020698,0.09546737891451192,-0.0029179205673663926,-0.16761600176735791,0.14243028236924726
19,-0.0014243204956827433,0.08951531545197901,0.007144912692446048,-0.14574087229826382,0.14078996632302077
20,0.002784069015850336,0.0913580312940436,0.0028667530475712036,-0.1505800470198864,0.14779411253041433
21,-0.0016901764473488386,0.09589119474658657,-0.005904114055045227,-0.16696116524110036,0.16545695200430538
22,-0.0013086330194913693,0.10045116029318163,0.003494345408838063,-0.16997441025628282,0.14951999607657307
23,0.005312116847362423,0.1034686300462313,0.008550254683976098,-0.16199158639833283,0.15787411701940857
24,0.003668868843782416,0.10132404164306992,0.003301601402843286,-0.16347823811564283,0.17881119483441027
25,0.0061876812756443845,0.09043330741978839,0.010586984153234785,-0.15649191690328856,0.14082196521714324
26,-0.006375586870221672,0.0998091340663342,-0.01598888093341196,-0.1614468015969343,0.1483606995798922
27,-0.0025480614398291712,0.09598113840422352,-0.002468510573951005,-0.1637993741583933,0.1506129787267868
28,-0.003999827153960213,0.10585789147076044,-0.002600363293303081,-0.18841098663507672,0.16754558597236402
29,-0.002742339163956941,0.09963304894038794,-0.0028275573473213467,-0.1630395350890431,0.1551168803292479
30,-0.0011216310399740958,0.10154109147457452,0.004528704509180548,-0.1595534462203907,0.16459600217656933
31,0.0038501883515220645,0.09105615645349915,0.006340357356901279,-0.1497905114082861,0.15782563395230714
